1704067200000,2281.87000000,2296.97000000,2281.27000000,2296.71000000,4393.02500000,1704068099999,10063222.35546200,9268,2678.09260000,6134316.05839700,0
1704068100000,2296.71000000,2297.00000000,2289.00000000,2291.05000000,2690.50610000,1704068999999,6169936.11551400,6693,1131.51090000,2594661.17332300,0
1704069000000,2291.05000000,2294.78000000,2288.55000000,2293.22000000,2201.94470000,1704069899999,5043679.51780300,5400,1253.50480000,2871007.70745100,0
1704069900000,2293.23000000,2297.18000000,2292.24000000,2295.51000000,1486.44250000,1704070799999,3410731.08003500,3506,778.48230000,1786159.49275800,0
1704070800000,2295.52000000,2297.40000000,2292.90000000,2296.59000000,1412.20530000,1704071699999,3240473.79378000,3948,775.24140000,1778809.31296700,0
1704071700000,2296.59000000,2300.32000000,2296.59000000,2299.11000000,1669.07320000,1704072599999,3836638.56834200,4651,1011.31580000,2324612.84872200,0
1704072600000,2299.12000000,2306.45000000,2299.11000000,2303.27000000,3207.16370000,1704073499999,7387095.45657000,7348,1999.06200000,4604080.04043400,0
1704073500000,2303.26000000,2306.60000000,2303.26000000,2303.72000000,2124.98380000,1704074399999,4898066.61227500,4352,999.19590000,2303096.31131000,0
1704074400000,2303.72000000,2304.72000000,2297.82000000,2299.02000000,1823.74170000,1704075299999,4194181.12652600,4750,857.72140000,1972327.59625000,0
1704075300000,2299.02000000,2299.02000000,2295.58000000,2296.74000000,1163.00040000,1704076199999,2671835.34991900,3601,467.32150000,1073545.35847600,0
1704076200000,2296.73000000,2299.46000000,2294.54000000,2294.54000000,1403.64630000,1704077099999,3224922.95682900,3665,636.13490000,1461492.03498200,0
1704077100000,2294.55000000,2295.33000000,2291.20000000,2293.02000000,1417.86490000,1704077999999,3252476.60048500,4109,719.95200000,1651533.72091900,0
1704078000000,2293.03000000,2294.50000000,2289.00000000,2289.04000000,2515.21150000,1704078899999,5763254.18292800,4592,654.17710000,1499530.63120000,0
1704078900000,2289.04000000,2289.05000000,2281.00000000,2282.37000000,2252.97740000,1704079799999,5146504.23237300,6197,1018.60960000,2326726.06218200,0
1704079800000,2282.37000000,2283.80000000,2273.24000000,2276.29000000,3284.88940000,1704080699999,7486200.70434700,7579,1326.20650000,3022536.15784300,0
1704080700000,2276.29000000,2277.58000000,2271.00000000,2273.81000000,2692.65770000,1704081599999,6123660.22670700,7505,1514.53870000,3444168.24677400,0
1704081600000,2273.80000000,2278.80000000,2271.77000000,2274.08000000,2330.43820000,1704082499999,5302902.85280900,6168,1091.03230000,2482625.61578800,0
1704082500000,2274.09000000,2274.53000000,2265.24000000,2271.62000000,3330.32540000,1704083399999,7560307.47816300,8882,1272.04970000,2887716.92155800,0
1704083400000,2271.62000000,2276.11000000,2271.34000000,2274.41000000,1723.71170000,1704084299999,3919713.84946700,5175,890.10900000,2023882.12561100,0
